
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 38.178603 8058449.937802
0 0 2 44.374524 3965485.738964
0 2 2 64.559890 2614678.833887
1 1 3 77.546032 3130461.233162
2 2 2 81.700295 919455.662580
0 0 4 98.097914 508916.110756
1 3 3 110.779803 1972568.781252
0 2 4 115.219137 2020790.947274
2 2 4 135.340605 2695804.940662
1 1 5 157.700043 5364556.309596

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 38.178603 8058449.937802
0 0 2 44.374524 3965485.738964
0 2 2 64.559890 2614678.833887
1 1 3 77.546032 3130461.233162
2 2 2 81.700295 919455.662580
0 0 4 98.097914 508916.110756
1 3 3 110.779803 1972568.781252
0 2 4 115.219137 2020790.947274
2 2 4 135.340605 2695804.940662
1 1 5 157.700043 5364556.309596
