h,k,l,Incident_Theta,Incident_Psi,Reflected_Theta,Reflected_Psi,IncidentXYZ_1,IncidentXYZ_2,IncidentXYZ_3,ReflectedXYZ_1,ReflectedXYZ_2,ReflectedXYZ_3,Intensity
0,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15907436.4089013
0,0,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1823185.06202562
0,0,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,409161.848791188
0,0,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,199002.427321181
0,2,0,-11.6883898766524,90.1,11.6883898766524,90.1,0.979262390792848,-0.202588557938423,-0.00174532836589814,0.979262390792848,0.202588557938423,-0.00174532836589814,15907436.4089013
0,2,2,-23.7929306223101,90.1,0.109288466971698,66.2071078539094,0.915008058245727,-0.403431787510948,-0.00174532836589814,0.915008058245727,0.00174532836589814,0.403431787510948,11546246.8396487
0,4,0,-23.9022652829193,90.1,23.9022652829193,90.1,0.914236544116792,-0.405177115876847,-0.00174532836589814,0.914236544116792,0.405177115876847,-0.00174532836589814,1823185.06202562
0,4,2,-30.3711566467412,90.1,19.4547675622341,66.2071078539094,0.862766989042087,-0.505598730663109,-0.00174532836589814,0.862766989042087,0.304755501090584,0.403431787510948,4879481.6745197
0,4,4,-53.9603592732896,90.1,0.169968021415259,36.0397606639003,0.588343942937193,-0.808608903387795,-0.00174532836589814,0.588343942937193,0.00174532836589825,0.808608903387795,1015725.61206334
0,6,0,-37.4281881748554,90.1,37.4281881748554,90.1,0.794114500283659,-0.60776567381527,-0.00174532836589814,0.794114500283659,0.60776567381527,-0.00174532836589814,409161.848791188
0,6,2,-42.4319791174569,90.1,36.2316661556503,66.2071078539094,0.738077745729291,-0.674713417006112,-0.00174532836589814,0.738077745729291,0.540817930624428,0.403431787510948,1359850.89739657
0,6,4,-61.2493780093723,90.1,35.1605853820876,36.0397606639002,0.480997553845558,-0.876720198822569,-0.00174532836589814,0.480997553845558,0.338811148807971,0.808608903387795,924761.080359592
0,8,0,-54.1306759555157,90.1,54.1306759555157,90.1,0.585937686881273,-0.810354231753693,-0.00174532836589814,0.585937686881273,0.810354231753693,-0.00174532836589814,199002.427321181
0,8,2,-59.3802322102455,90.1,56.1757568229366,66.2071078539093,0.509337576885035,-0.860565039146825,-0.00174532836589814,0.509337576885035,0.760143424360562,0.403431787510949,794850.357193073
1,1,1,-12.3359745761345,90.1,4.26534235102968,78.4137268741118,0.97691013752289,-0.213643481140671,-0.00174532836589814,0.97691013752289,0.0728600050774552,0.200843229572525,31254723.0774079
1,1,3,-51.6452139385893,90.1,-38.7304604074343,52.6976990405812,0.620528204158553,-0.784182186531074,-0.00174532836589814,0.620528204158553,-0.497678700312949,0.606020345449372,13853532.216291
1,3,1,-20.5975311430419,90.1,17.1484532680697,78.4137268741118,0.936073269892021,-0.351800777745808,-0.00174532836589814,0.936073269892021,0.288840493228595,0.200843229572525,13853532.216291
1,3,3,-37.3696082426639,90.1,2.42724226794398,52.6976990405812,0.794735472459364,-0.606953443555342,-0.00174532836589814,0.794735472459364,0.0336878274190616,0.606020345449372,5358002.51553726
1,5,1,-32.4134834912107,90.1,30.485196124635,78.4137268741118,0.84420051950587,-0.536024660528705,-0.00174532836589814,0.844200519505871,0.496978349629937,0.200843229572525,2792676.28433184
1,5,3,-43.968650944235,90.1,25.2042677925923,52.6976990405812,0.719718674777342,-0.694263626445778,-0.00174532836589814,0.719718674777342,0.338739383712865,0.606020345449372,3444719.5555112
1,7,1,-46.914751995031,90.1,45.7897629374592,78.4137268741118,0.683084715109289,-0.730337063151636,-0.00174532836589814,0.683084715109289,0.702180367938993,0.200843229572525,946088.586590466
1,7,3,-57.612637528547,90.1,47.6715074829486,52.6976990405812,0.535639735679058,-0.844444804229717,-0.00174532836589814,0.535639735679058,0.588072626860912,0.606020345449372,1649332.48022207
1,9,1,-68.1641784378254,90.1,67.6858669507175,78.4137268741118,0.371947689664324,-0.928252050890418,-0.00174532836589814,0.371947689664323,0.906265365821871,0.200843229572525,994633.935987386
2,0,0,-11.6883898766524,90.1,11.6883898766524,90.1,0.979262390792848,-0.202588557938423,-0.00174532836589814,0.979262390792848,0.202588557938423,-0.00174532836589814,15907436.4089013
2,0,2,-23.7929306223101,90.1,0.109288466971695,66.2071078539094,0.915008058245727,-0.403431787510948,-0.00174532836589814,0.915008058245727,0.00174532836589808,0.403431787510948,11546246.8396487
2,2,0,-16.6487662566067,90.1,16.6487662566067,90.1,0.958077609702761,-0.286503486218126,-0.00174532836589814,0.958077609702761,0.286503486218125,-0.00174532836589814,11546246.8396487
2,2,2,-25.3737831128155,90.1,9.08539609709828,66.2071078539093,0.903530090411829,-0.428521095804265,-0.00174532836589814,0.903530090411829,0.144485876631987,0.403431787510948,3994079.7419699
2,2,4,-58.9862301177289,90.1,-28.8663789466835,36.0397606639003,0.515243278104377,-0.857042191608529,-0.00174532836589814,0.515243278104377,-0.284035219172278,0.808608903387795,3482376.56726428
2,4,0,-26.9364835596933,90.1,26.9364835596933,90.1,0.891507899455213,-0.453001787013969,-0.00174532836589814,0.891507899455213,0.453001787013969,-0.00174532836589814,4879481.6745197
2,4,2,-32.8759818152881,90.1,23.3855213839323,66.2071078539094,0.839846208371768,-0.542821609842921,-0.00174532836589814,0.839846208371767,0.363181964185017,0.403431787510948,3482376.56726428
2,4,4,-54.4731586376407,90.1,9.01220190610865,36.0397606639002,0.581083395751564,-0.813842147477462,-0.00174532836589814,0.581083395751564,0.0921614265504764,0.808608903387795,1636647.39516475
2,6,0,-39.8397269067019,90.1,39.8397269067019,90.1,0.767838339595775,-0.640641270974403,-0.00174532836589814,0.767838339595775,0.640641270974403,-0.00174532836589814,1359850.89739657
2,6,2,-44.761281777985,90.1,39.1044032385339,66.2071078539093,0.710045656958126,-0.70415347678173,-0.00174532836589814,0.710045656958126,0.577129065167077,0.403431787510949,1163206.49831705
2,6,4,-63.6107671378231,90.1,40.9353269218938,36.0397606639002,0.444466170422487,-0.895793936783937,-0.00174532836589814,0.444466170422487,0.38548860516487,0.808608903387795,1715932.14420564
2,8,0,-56.6465988718214,90.1,56.6465988718214,90.1,0.549800735812719,-0.835294022921683,-0.00174532836589814,0.549800735812719,0.835294022921682,-0.00174532836589814,794850.357193073
2,8,2,-62.1295699355941,90.1,59.276606089771,66.2071078539093,0.467472934939202,-0.884005661140371,-0.00174532836589814,0.467472934939202,0.786582384702994,0.403431787510949,812801.062402374
3,1,1,-20.5975311430419,90.1,17.1484532680697,78.4137268741118,0.936073269892021,-0.351800777745808,-0.00174532836589814,0.936073269892021,0.288840493228595,0.200843229572525,13853532.216291
3,1,3,-37.3696082426639,90.1,2.42724226794398,52.6976990405812,0.794735472459364,-0.606953443555342,-0.00174532836589814,0.794735472459364,0.0336878274190616,0.606020345449372,5358002.51553726
3,3,1,-26.9504534810333,90.1,24.5030925650438,78.4137268741118,0.891397421552081,-0.453219142004391,-0.00174532836589814,0.891397421552081,0.406291316649986,0.200843229572525,5358002.51553726
3,3,3,-40.0457955292808,90.1,15.7645698363327,52.6976990405812,0.765529263449276,-0.643398710467859,-0.00174532836589814,0.765529263449276,0.216111748186518,0.606020345449372,930892.09477728
3,5,1,-37.4245012480463,90.1,35.8383253095965,78.4137268741118,0.794153607760197,-0.607714572073403,-0.00174532836589814,0.794153607760197,0.573569563711623,0.200843229572525,3444719.5555112
3,5,3,-48.2529509888049,90.1,33.168577886163,52.6976990405812,0.66584222569035,-0.746090533592685,-0.00174532836589814,0.66584222569035,0.435193602192341,0.606020345449372,1206315.07002584
3,7,1,-51.6750916373047,90.1,50.726865698011,78.4137268741118,0.620119196859833,-0.784505663150248,-0.00174532836589814,0.620119196859833,0.758362827952949,0.200843229572525,1649332.48022207
3,7,3,-62.9302759682364,90.1,55.1034423784611,52.6976990405812,0.455073748445442,-0.890452040990816,-0.00174532836589814,0.455073748445442,0.65241645011238,0.606020345449372,793379.324092284
3,9,1,-76.2776758020535,90.1,75.9864995229157,78.4137268741118,0.237216312196146,-0.971455287214474,-0.00174532836589814,0.237216312196147,0.950468525708736,0.200843229572525,2914655.60745213
4,0,0,-23.9022652829193,90.1,23.9022652829193,90.1,0.914236544116792,-0.405177115876847,-0.00174532836589814,0.914236544116792,0.405177115876846,-0.00174532836589814,1823185.06202562
4,0,2,-30.3711566467412,90.1,19.4547675622341,66.2071078539094,0.862766989042087,-0.505598730663109,-0.00174532836589814,0.862766989042087,0.304755501090584,0.403431787510948,4879481.6745197
4,0,4,-53.9603592732896,90.1,0.169968021415259,36.0397606639003,0.588343942937193,-0.808608903387795,-0.00174532836589814,0.588343942937193,0.00174532836589825,0.808608903387795,1015725.61206334
4,2,0,-26.9364835596933,90.1,26.9364835596933,90.1,0.891507899455213,-0.453001787013969,-0.00174532836589814,0.891507899455213,0.453001787013969,-0.00174532836589814,4879481.6745197
4,2,2,-32.8759818152881,90.1,23.3855213839322,66.2071078539094,0.839846208371768,-0.542821609842921,-0.00174532836589814,0.839846208371768,0.363181964185017,0.403431787510948,3482376.56726428
4,2,4,-54.4731586376407,90.1,9.01220190610864,36.0397606639002,0.581083395751564,-0.813842147477462,-0.00174532836589814,0.581083395751564,0.0921614265504763,0.808608903387795,1636647.39516475
4,4,0,-34.9602394154613,90.1,34.9602394154613,90.1,0.819548633925002,-0.573006972436251,-0.00174532836589814,0.819548633925002,0.573006972436251,-0.00174532836589814,1015725.61206334
4,4,2,-40.0919953426664,90.1,33.2728050580693,66.2071078539093,0.765010217257658,-0.644015777229321,-0.00174532836589814,0.765010217257658,0.501998167643182,0.403431787510948,1636647.39516475
4,4,4,-59.1237421235856,90.1,29.2789133800772,36.0397606639002,0.513184862937073,-0.858276325131454,-0.00174532836589814,0.513184862937073,0.287737619741049,0.808608903387795,341070.378542678
4,6,0,-46.9236748673946,90.1,46.9236748673946,90.1,0.682970968878244,-0.730443433469292,-0.00174532836589814,0.682970968878244,0.730443433469292,-0.00174532836589814,924761.080359592
4,6,2,-51.8270274659492,90.1,47.5114583798849,66.2071078539093,0.61803668218932,-0.786147322896487,-0.00174532836589814,0.61803668218932,0.674739544042098,0.403431787510948,1715932.14420564
4,6,4,-72.5977488624169,90.1,59.4469330604155,36.0397606639002,0.299077828379209,-0.954227125165111,-0.00174532836589814,0.299077828379209,0.506659741773474,0.808608903387795,794850.357193072
4,8,0,-64.9589753930253,90.1,64.9589753930253,90.1,0.423266438165723,-0.906003574027938,-0.00174532836589814,0.423266438165723,0.906003574027938,-0.00174532836589814,918844.275348366
4,8,2,-71.9737672351961,90.1,70.233043753476,66.2071078539093,0.309451930083905,-0.950913485442415,-0.00174532836589814,0.309451930083905,0.861093662613462,0.403431787510948,2053547.48566234
5,1,1,-32.4134834912107,90.1,30.4851961246351,78.4137268741118,0.84420051950587,-0.536024660528705,-0.00174532836589814,0.84420051950587,0.496978349629938,0.200843229572525,2792676.28433184
5,1,3,-43.968650944235,90.1,25.2042677925923,52.6976990405812,0.719718674777342,-0.694263626445778,-0.00174532836589814,0.719718674777342,0.338739383712865,0.606020345449372,3444719.5555112
5,3,1,-37.4245012480463,90.1,35.8383253095965,78.4137268741118,0.794153607760197,-0.607714572073403,-0.00174532836589814,0.794153607760197,0.573569563711623,0.200843229572525,3444719.5555112
5,3,3,-48.2529509888049,90.1,33.168577886163,52.6976990405812,0.66584222569035,-0.746090533592685,-0.00174532836589814,0.66584222569035,0.435193602192341,0.606020345449372,1206315.07002584
5,5,1,-46.914751995031,90.1,45.7897629374592,78.4137268741118,0.683084715109289,-0.730337063151636,-0.00174532836589814,0.683084715109289,0.702180367938993,0.200843229572525,946088.586590466
5,5,3,-57.612637528547,90.1,47.6715074829487,52.6976990405812,0.535639735679058,-0.844444804229717,-0.00174532836589814,0.535639735679058,0.588072626860912,0.606020345449372,824666.240111035
5,7,1,-61.9990746544803,90.1,61.3635305505088,78.4137268741118,0.469485107548544,-0.882938665830774,-0.00174532836589814,0.469485107548544,0.859794004936654,0.200843229572525,1680088.0762093
5,7,3,-77.6170508372563,90.1,74.3601885235289,52.6976990405812,0.214444339967034,-0.976734651215466,-0.00174532836589814,0.214444339967034,0.765998019551961,0.606020345449372,1989267.87197477
6,0,0,-37.4281881748554,90.1,37.4281881748554,90.1,0.794114500283659,-0.60776567381527,-0.00174532836589814,0.794114500283659,0.60776567381527,-0.00174532836589814,409161.848791188
6,0,2,-42.4319791174569,90.1,36.2316661556503,66.2071078539094,0.738077745729291,-0.674713417006112,-0.00174532836589814,0.738077745729291,0.540817930624428,0.403431787510948,1359850.89739657
6,0,4,-61.2493780093723,90.1,35.1605853820876,36.0397606639002,0.480997553845558,-0.876720198822569,-0.00174532836589814,0.480997553845558,0.338811148807971,0.808608903387795,924761.080359592
6,2,0,-39.8397269067019,90.1,39.8397269067019,90.1,0.767838339595775,-0.640641270974403,-0.00174532836589814,0.767838339595775,0.640641270974403,-0.00174532836589814,1359850.89739657
6,2,2,-44.761281777985,90.1,39.1044032385339,66.2071078539093,0.710045656958126,-0.70415347678173,-0.00174532836589814,0.710045656958126,0.577129065167077,0.403431787510949,1163206.49831705
6,2,4,-63.6107671378231,90.1,40.9353269218938,36.0397606639002,0.444466170422487,-0.895793936783937,-0.00174532836589814,0.444466170422487,0.38548860516487,0.808608903387795,1715932.14420564
6,4,0,-46.9236748673946,90.1,46.9236748673946,90.1,0.682970968878244,-0.730443433469292,-0.00174532836589814,0.682970968878244,0.730443433469292,-0.00174532836589814,924761.080359592
6,4,2,-51.8270274659492,90.1,47.5114583798849,66.2071078539093,0.61803668218932,-0.786147322896487,-0.00174532836589814,0.61803668218932,0.674739544042098,0.403431787510948,1715932.14420564
6,4,4,-72.5977488624169,90.1,59.4469330604155,36.0397606639002,0.299077828379209,-0.954227125165111,-0.00174532836589814,0.299077828379209,0.506659741773474,0.808608903387795,794850.357193073
6,6,0,-59.2618083252245,90.1,59.2618083252244,90.1,0.511115178108259,-0.859510458654377,-0.00174532836589814,0.511115178108259,0.859510458654377,-0.00174532836589814,406400.531201187
6,6,2,-65.0737528638423,90.1,62.5743688250886,66.2071078539094,0.421450643174117,-0.906849661849757,-0.00174532836589814,0.421450643174117,0.812171255458998,0.403431787510948,852119.488716221
7,1,1,-46.914751995031,90.1,45.7897629374592,78.4137268741118,0.683084715109289,-0.730337063151636,-0.00174532836589814,0.683084715109289,0.702180367938993,0.200843229572525,946088.586590466
7,1,3,-57.612637528547,90.1,47.6715074829486,52.6976990405812,0.535639735679058,-0.844444804229717,-0.00174532836589814,0.535639735679058,0.588072626860912,0.606020345449372,1649332.48022207
7,3,1,-51.6750916373047,90.1,50.726865698011,78.4137268741118,0.620119196859833,-0.784505663150248,-0.00174532836589814,0.620119196859833,0.758362827952949,0.200843229572525,1649332.48022207
