
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 301.503298
0 1 0 42.470211 19.658154
0 1 1 44.670996 54.201184
0 1 2 50.821657 14.494402
0 0 4 54.800065 101.947664
0 1 3 60.041596 32.840770
0 1 4 71.695931 8.375505
1 1 0 77.708499 60.343222
1 1 2 83.857979 55.254299
0 1 5 85.652665 20.256835
0 0 6 87.307790 52.960909
0 2 0 92.836501 6.239486
0 2 1 94.356332 18.446469
0 2 2 98.938732 5.905011
1 1 4 102.162390 46.049082
0 1 6 102.439047 5.744117
0 2 3 106.722905 16.714563
0 2 4 118.232765 5.207484
0 1 7 124.024709 15.196307
0 0 8 133.969427 38.951215
0 2 5 135.341765 14.537438
1 1 6 137.743676 38.460182
1 2 0 146.782874 4.685882
1 2 1 149.663463 13.962173
1 2 2 160.474487 4.562095
0 1 8 163.066990 2.273109

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 298.843668
0 1 0 42.470211 19.418203
0 1 1 44.670996 53.511145
0 1 2 50.821657 14.288440
0 0 4 54.800065 100.402967
0 1 3 60.041596 32.304012
0 1 4 71.695931 8.219074
1 1 0 77.708499 59.155828
1 1 2 83.857979 54.118267
0 1 5 85.652665 19.835634
0 0 6 87.307790 51.848797
0 2 0 92.836501 6.104544
0 2 1 94.356332 18.044606
0 2 2 98.938732 5.773751
1 1 4 102.162390 45.012376
0 1 6 102.439047 5.614665
0 2 3 106.722905 16.332110
0 2 4 118.232765 5.084253
0 1 7 124.024709 14.831715
0 0 8 133.969427 37.998104
0 2 5 135.341765 14.180874
1 1 6 137.743676 37.513126
1 2 0 146.782874 4.569014
1 2 1 149.663463 13.612769
1 2 2 160.474487 4.446789
0 1 8 163.066990 2.215557

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 620.136014
0 1 0 42.470211 116.763020
0 1 2 50.821657 1905.178439
0 0 4 54.800065 186.998543
0 1 3 60.041596 2444.596090
1 1 0 77.708499 848.596387
1 1 2 83.857979 72.642616
0 1 5 85.652665 571.298222
0 0 6 87.307790 780.587120
0 2 0 92.836501 34.486481
0 2 2 98.938732 70.951268
1 1 4 102.162390 558.171038
0 1 6 102.439047 88.541474
0 2 4 118.232765 19.939339
0 1 7 124.024709 184.678776
0 0 8 133.969427 38.964263
0 2 5 135.341765 1489.913709
1 1 6 137.743676 6869.794688
1 2 1 149.663463 582.922996
1 2 2 160.474487 935.186621
0 1 8 163.066990 1189.120000

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 620.136014
0 1 0 42.470211 116.763020
0 1 2 50.821657 1905.178439
0 0 4 54.800065 186.998543
0 1 3 60.041596 2444.596090
1 1 0 77.708499 848.596387
1 1 2 83.857979 72.642616
0 1 5 85.652665 571.298222
0 0 6 87.307790 780.587120
0 2 0 92.836501 34.486481
0 2 2 98.938732 70.951268
1 1 4 102.162390 558.171038
0 1 6 102.439047 88.541474
0 2 4 118.232765 19.939339
0 1 7 124.024709 184.678776
0 0 8 133.969427 38.964263
0 2 5 135.341765 1489.913709
1 1 6 137.743676 6869.794688
1 2 1 149.663463 582.922996
1 2 2 160.474487 935.186621
0 1 8 163.066990 1189.120000

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 620.136014
0 1 0 42.470211 116.763020
0 1 2 50.821657 1905.178439
0 0 4 54.800065 186.998543
0 1 3 60.041596 2444.596090
1 1 0 77.708499 848.596387
1 1 2 83.857979 72.642616
0 1 5 85.652665 571.298222
0 0 6 87.307790 780.587120
0 2 0 92.836501 34.486481
0 2 2 98.938732 70.951268
1 1 4 102.162390 558.171038
0 1 6 102.439047 88.541474
0 2 4 118.232765 19.939339
0 1 7 124.024709 184.678776
0 0 8 133.969427 38.964263
0 2 5 135.341765 1489.913709
1 1 6 137.743676 6869.794688
1 2 1 149.663463 582.922996
1 2 2 160.474487 935.186621
0 1 8 163.066990 1189.120000

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 620.136014
0 1 0 42.470211 116.763020
0 1 2 50.821657 1905.178439
0 0 4 54.800065 186.998543
0 1 3 60.041596 2444.596090
1 1 0 77.708499 848.596387
1 1 2 83.857979 72.642616
0 1 5 85.652665 571.298222
0 0 6 87.307790 780.587120
0 2 0 92.836501 34.486481
0 2 2 98.938732 70.951268
1 1 4 102.162390 558.171038
0 1 6 102.439047 88.541474
0 2 4 118.232765 19.939339
0 1 7 124.024709 184.678776
0 0 8 133.969427 38.964263
0 2 5 135.341765 1489.913709
1 1 6 137.743676 6869.794688
1 2 1 149.663463 582.922996
1 2 2 160.474487 935.186621
0 1 8 163.066990 1189.120000

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 21058.896418
0 1 0 42.470211 1489.423042
0 1 1 44.670996 7331.227310
0 1 2 50.821657 1463.149077
0 0 4 54.800065 1444.721851
0 1 3 60.041596 2271.750970
0 1 4 71.695931 397.188201
1 1 0 77.708499 1234.884263
1 1 2 83.857979 2018.870552
0 1 5 85.652665 721.365053
0 0 6 87.307790 307.903051
0 2 0 92.836501 103.741231
0 2 1 94.356332 608.830942
0 2 2 98.938732 193.308962
1 1 4 102.162390 1517.583700
0 1 6 102.439047 189.497190
0 2 3 106.722905 565.223793
0 2 4 118.232765 202.281477
0 1 7 124.024709 654.355034
0 0 8 133.969427 348.577652
0 2 5 135.341765 808.137688
1 1 6 137.743676 2277.741599
1 2 0 146.782874 364.167489
1 2 1 149.663463 2398.862142
1 2 2 160.474487 1255.362666
0 1 8 163.066990 362.682842

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 21058.896418
0 1 0 42.470211 1489.423042
0 1 1 44.670996 7331.227310
0 1 2 50.821657 1463.149077
0 0 4 54.800065 1444.721851
0 1 3 60.041596 2271.750970
0 1 4 71.695931 397.188201
1 1 0 77.708499 1234.884263
1 1 2 83.857979 2018.870552
