
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 23.769855 22941117.719780
0 0 2 27.514269 6708.287249
0 2 2 39.304396 18124084.171971
1 1 3 46.451886 11016889.386619
2 2 2 48.647679 2306.775237
0 0 4 56.798630 3034295.332167
1 3 3 62.434968 4601087.086851
0 2 4 64.247851 4281.687940
2 2 4 71.253910 6090325.585752
1 1 5 76.317187 2550310.262632
0 4 4 84.539099 1949871.197125
1 3 5 89.407648 3432630.769436
0 0 6 91.027811 577.892836
0 2 6 97.529805 3079814.984280
3 3 5 102.466577 1508710.014422
2 2 6 104.131378 2018.991347
4 4 4 110.931424 981942.671269
1 1 7 116.236570 1490033.026333
0 4 6 118.057311 2028.345396
2 4 6 125.694178 6751916.704400
1 3 7 131.934980 3824081.322000
0 0 8 144.063417 1238513.340883
3 3 7 153.443666 3286474.694256
0 2 8 157.334646 4565.522269
