
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 27.368938 95855.317026
0 0 2 31.706336 1102452.981563
0 2 2 45.452045 732021.539920
1 1 3 53.873448 25477.497349
2 2 2 56.477873 237710.474118
0 0 4 66.233393 104958.002146
1 3 3 73.077572 12858.767513
0 2 4 75.299584 281426.214755
2 2 4 84.000606 209828.257455
1 1 5 90.424984 10969.199574
0 4 4 101.184914 77091.919377
1 3 5 107.813000 24723.473029
0 0 6 110.073363 37446.317032
0 2 6 119.503063 157136.067502
3 3 5 127.186063 17618.743576
2 2 6 129.919978 179021.833569
4 4 4 142.275699 76750.530986
1 1 7 154.541831 40432.962010
0 4 6 160.087039 430279.327102

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 27.368938 95855.317026
0 0 2 31.706336 1102452.981563
0 2 2 45.452045 732021.539920
1 1 3 53.873448 25477.497349
2 2 2 56.477873 237710.474118
0 0 4 66.233393 104958.002146
1 3 3 73.077572 12858.767513
0 2 4 75.299584 281426.214755
2 2 4 84.000606 209828.257455
1 1 5 90.424984 10969.199574
0 4 4 101.184914 77091.919377
1 3 5 107.813000 24723.473029
0 0 6 110.073363 37446.317032
0 2 6 119.503063 157136.067502
3 3 5 127.186063 17618.743576
2 2 6 129.919978 179021.833569
4 4 4 142.275699 76750.530986
1 1 7 154.541831 40432.962010
0 4 6 160.087039 430279.327102

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 27.368938 95855.317026
0 0 2 31.706336 1102452.981563
0 2 2 45.452045 732021.539920
1 1 3 53.873448 25477.497349
2 2 2 56.477873 237710.474118
0 0 4 66.233393 104958.002146
1 3 3 73.077572 12858.767513
0 2 4 75.299584 281426.214755
2 2 4 84.000606 209828.257455
1 1 5 90.424984 10969.199574
0 4 4 101.184914 77091.919377
1 3 5 107.813000 24723.473029
0 0 6 110.073363 37446.317032
0 2 6 119.503063 157136.067502
3 3 5 127.186063 17618.743576
2 2 6 129.919978 179021.833569
4 4 4 142.275699 76750.530986
1 1 7 154.541831 40432.962010
0 4 6 160.087039 430279.327102
